UPI0000026E49	SNU13	ENSG00000100138
UPI0000034CC4	BYSL	ENSG00000112578
UPI0000037300	UTP4	ENSG00000141076
UPI0000037BF5	IMP3	ENSG00000177971
UPI0000049FB3	UTP6	ENSG00000108651
UPI000004A085	DCAF13	ENSG00000164934
UPI000006F063	DNTTIP2	ENSG00000067334
UPI000006F172	TBL3	ENSG00000183751
UPI000006F6E2	NOL10	ENSG00000115761
UPI000006F7A0	NGDN	ENSG00000129460
UPI000006F889	RRP9	ENSG00000114767
UPI000006FDFC	UTP11	ENSG00000183520
UPI0000070063	FCF1	ENSG00000119616
UPI000007018C	WDR36	ENSG00000134987
UPI000007196C	NOL7	ENSG00000225921
UPI0000071F26	IMP4	ENSG00000136718
UPI00000723C4	NOC4L	ENSG00000184967
UPI0000072A7B	UTP14A	ENSG00000156697
UPI00000738E7	PNO1	ENSG00000115946
UPI0000073D63	UTP3	ENSG00000132467
UPI000007452C	WDR75	ENSG00000115368
UPI0000126A3E	BMS1	ENSG00000165733
UPI000012F41D	MPHOSPH10	ENSG00000124383
UPI000012FF36	EMG1	ENSG00000126749
UPI0000130366	NOP58	ENSG00000055044
UPI0000138EDC	WDR3	ENSG00000065183
UPI000013CA7B	RCL1	ENSG00000120158
UPI000013D4D4	HEATR1	ENSG00000119285
UPI0000169D5D	PWP2	ENSG00000241945
UPI000016A81D	NOP56	ENSG00000101361
UPI00001A9472	NOP14	ENSG00000087269
UPI00001C1DCD	WDR43	ENSG00000163811
UPI00001C1ED1	PDCD11	ENSG00000148843
UPI00001FB38B	UTP20	ENSG00000120800
UPI000020CADC	UTP15	ENSG00000164338
UPI000051E38C	UTP18	ENSG00000011260
